id,formula_cal_id,source,val_pos,value,created,status
1,3,i,2,9.0,2023-08-25 14:59:44,1
2,3,e,4,10.0,2023-08-25 14:59:44,1
3,3,e,6,10.0,2023-08-25 14:59:44,1
4,3,e,8,10.0,2023-08-25 14:59:44,1
5,4,i,2,11.0,2023-08-25 14:59:53,1
6,4,e,4,13.0,2023-08-25 14:59:53,1
7,4,e,6,7.0,2023-08-25 14:59:53,1
8,4,e,8,13.0,2023-08-25 14:59:53,1
9,5,i,2,11.0,2023-08-25 15:00:04,1
10,5,e,4,7.0,2023-08-25 15:00:04,1
11,5,e,6,10.0,2023-08-25 15:00:04,1
12,5,e,8,7.0,2023-08-25 15:00:04,1
13,6,i,2,10.0,2023-08-25 15:00:11,1
14,6,e,4,12.0,2023-08-25 15:00:11,1
15,6,e,6,10.0,2023-08-25 15:00:11,1
16,6,e,8,12.0,2023-08-25 15:00:11,1
17,7,i,2,11.0,2023-08-25 15:00:21,1
18,7,e,4,10.0,2023-08-25 15:00:21,1
19,7,e,6,11.0,2023-08-25 15:00:21,1
20,7,e,8,10.0,2023-08-25 15:00:21,1
21,8,i,2,9.0,2023-08-25 15:00:29,1
22,8,e,4,11.0,2023-08-25 15:00:29,1
23,8,e,6,9.0,2023-08-25 15:00:29,1
24,8,e,8,11.0,2023-08-25 15:00:29,1
25,9,i,2,10.0,2023-08-25 15:00:38,1
26,9,e,4,7.0,2023-08-25 15:00:38,1
27,9,e,6,13.0,2023-08-25 15:00:38,1
28,9,e,8,7.0,2023-08-25 15:00:38,1
29,10,i,2,9.0,2023-08-25 15:00:48,1
30,10,e,4,10.0,2023-08-25 15:00:48,1
31,10,e,6,11.0,2023-08-25 15:00:48,1
32,10,e,8,10.0,2023-08-25 15:00:48,1
33,11,i,2,10.0,2023-08-25 15:00:56,1
34,11,e,4,8.0,2023-08-25 15:00:56,1
35,11,e,6,7.0,2023-08-25 15:00:56,1
36,11,e,8,8.0,2023-08-25 15:00:56,1
37,12,i,2,11.0,2023-08-25 15:01:05,1
38,12,e,4,9.0,2023-08-25 15:01:05,1
39,12,e,6,7.0,2023-08-25 15:01:05,1
40,12,e,8,9.0,2023-08-25 15:01:05,1
41,13,i,2,10.0,2023-08-25 15:01:16,1
42,13,e,4,8.0,2023-08-25 15:01:16,1
43,13,e,6,12.0,2023-08-25 15:01:16,1
44,13,e,8,8.0,2023-08-25 15:01:16,1
45,14,i,2,11.0,2023-08-25 15:01:24,1
46,14,e,4,12.0,2023-08-25 15:01:24,1
47,14,e,6,13.0,2023-08-25 15:01:24,1
48,14,e,8,12.0,2023-08-25 15:01:24,1
49,15,i,2,10.0,2023-08-25 15:01:33,1
50,15,e,4,8.0,2023-08-25 15:01:33,1
51,15,e,6,9.0,2023-08-25 15:01:33,1
52,15,e,8,8.0,2023-08-25 15:01:33,1
53,16,i,2,9.0,2023-08-25 15:01:42,1
54,16,e,4,10.0,2023-08-25 15:01:42,1
55,16,e,6,9.0,2023-08-25 15:01:42,1
56,16,e,8,10.0,2023-08-25 15:01:42,1
57,17,i,2,12.0,2023-08-25 15:01:52,1
58,17,e,4,7.0,2023-08-25 15:01:52,1
59,17,e,6,7.0,2023-08-25 15:01:52,1
60,17,e,8,7.0,2023-08-25 15:01:52,1
