id,formula,calculated,created,status
1,,-1111111.0,2023-08-25 14:59:26,1
2,,-1111111.0,2023-08-25 14:59:35,1
3,,800.0,2023-08-25 14:59:44,1
4,,1768.0,2023-08-25 14:59:53,1
5,,469.0,2023-08-25 15:00:04,1
6,,1320.0,2023-08-25 15:00:11,1
7,,990.0,2023-08-25 15:00:21,1
8,,990.0,2023-08-25 15:00:29,1
9,,399.0,2023-08-25 15:00:38,1
10,,790.0,2023-08-25 15:00:48,1
11,,584.0,2023-08-25 15:00:56,1
12,,828.0,2023-08-25 15:01:05,1
13,,544.0,2023-08-25 15:01:16,1
14,,1428.0,2023-08-25 15:01:24,1
15,,568.0,2023-08-25 15:01:33,1
16,,810.0,2023-08-25 15:01:42,1
17,,539.0,2023-08-25 15:01:52,1
