id,DT_ID,API_ID,elapsed_time,created,status
1,1,2,0.006821,2023-08-25 14:59:26,1
2,1,2,0.00806,2023-08-25 14:59:35,1
3,1,99,1.009468,2023-08-25 14:59:36,1
4,1,2,0.004452,2023-08-25 14:59:44,1
5,1,99,0.001717,2023-08-25 14:59:44,1
6,1,2,0.003612,2023-08-25 14:59:53,1
7,1,99,0.00266,2023-08-25 14:59:53,1
8,1,2,2.012958,2023-08-25 15:00:04,1
9,1,99,0.003052,2023-08-25 15:00:04,1
10,1,2,0.005111,2023-08-25 15:00:11,1
11,1,99,1.010894,2023-08-25 15:00:12,1
12,1,2,1.013212,2023-08-25 15:00:21,1
13,1,99,2.010726,2023-08-25 15:00:23,1
14,1,2,0.005795,2023-08-25 15:00:29,1
15,1,99,1.01285,2023-08-25 15:00:30,1
16,1,2,0.007379,2023-08-25 15:00:38,1
17,1,99,0.003513,2023-08-25 15:00:38,1
18,1,2,1.018173,2023-08-25 15:00:48,1
19,1,99,2.010581,2023-08-25 15:00:50,1
20,1,2,0.008479,2023-08-25 15:00:56,1
21,1,99,0.003401,2023-08-25 15:00:56,1
22,1,2,0.010874,2023-08-25 15:01:05,1
23,1,99,0.003184,2023-08-25 15:01:05,1
24,1,2,2.010966,2023-08-25 15:01:16,1
25,1,99,0.003581,2023-08-25 15:01:16,1
26,1,2,1.01108,2023-08-25 15:01:24,1
27,1,99,0.00369,2023-08-25 15:01:24,1
28,1,2,1.013938,2023-08-25 15:01:33,1
29,1,99,2.013999,2023-08-25 15:01:35,1
30,1,2,1.010857,2023-08-25 15:01:42,1
31,1,99,0.003459,2023-08-25 15:01:42,1
32,1,2,2.015087,2023-08-25 15:01:52,1
33,1,99,0.004219,2023-08-25 15:01:52,1
